target,source,Date,value
Absolemdu83,MSNBC,Before Election,73
ceenone3,ThatTrumpGuy,Before Election,28
CPanther95,CPanther95,Before Election,67
DAVINLEWIS9,revolttv,Before Election,11
EJLandwehr,EJLandwehr,Before Election,17
funder,funder,Before Election,40
ghln90124,Abu1Hussein2013,Before Election,149
He1FineArtist,CNN,Before Election,17
hrblock_21,FoxNews,Before Election,12
joleonbusby,CNN,Before Election,13
kapilt41,CNN,Before Election,15
nickcamejo,CNNPolitics,Before Election,25
OemorOniluap,USATODAY,Before Election,11
pendulum58841,CNN,Before Election,16
rashidaldosari,CNN,Before Election,12
Real_Infinity95,NBCNews,Before Election,57
RNCenter,NBCNews,Before Election,52
Telemundo,TelemundoNews,Before Election,54
TheDemCoalition,funder,Before Election,42
theshoesupply,DealGenies,Before Election,224
UniNoticias,UniPolitica,Before Election,17
USANEWS007,USANEWS007,Before Election,18
_h_Dawg,HillaryClinton,First debate,13
_Richard_A_King,realDonaldTrump,First debate,13
10is3,realDonaldTrump,First debate,12
123_talent,realDonaldTrump,First debate,27
123Jayne,realDonaldTrump,First debate,11
15_Athens,realDonaldTrump,First debate,20
1boxingking1,realDonaldTrump,First debate,12
1Corinthians126,HillaryClinton,First debate,30
1ed06e2568ac4d8,HillaryClinton,First debate,52
242_859,realDonaldTrump,First debate,30
243Dyz,realDonaldTrump,First debate,17
2604FILL,realDonaldTrump,First debate,13
5sos_Vampsjrt1d,realDonaldTrump,First debate,12
727sameer,realDonaldTrump,First debate,53
808gardeniaG,realDonaldTrump,First debate,14
8939bd,realDonaldTrump,First debate,17
Aaaaaaaa1969,realDonaldTrump,First debate,20
AboutFaceByDana,realDonaldTrump,First debate,24
Abraham1996_ESP,HillaryClinton,First debate,13
AdalgisaRodri16,HillaryClinton,First debate,31
aehret24,realDonaldTrump,First debate,24
ahernandez85a,realDonaldTrump,First debate,12
ajnalight,realDonaldTrump,First debate,13
alanlieb,realDonaldTrump,First debate,27
alcardfan,realDonaldTrump,First debate,15
AlexN1952,realDonaldTrump,First debate,14
alexpop5271,realDonaldTrump,First debate,12
alfredfoster181,realDonaldTrump,First debate,13
AliceCoven,realDonaldTrump,First debate,11
alicia45KAG,realDonaldTrump,First debate,13
almabelina,HillaryClinton,First debate,14
am22rszu,realDonaldTrump,First debate,21
AmazingSOP1,HillaryClinton,First debate,14
Amberis4LSU,realDonaldTrump,First debate,17
ameliasantos746,HillaryClinton,First debate,21
AmericaIsBackk,realDonaldTrump,First debate,15
American525,realDonaldTrump,First debate,13
AMERICANCHILEAN,realDonaldTrump,First debate,11
AmericanWoman8,HillaryClinton,First debate,23
Amycrocker76Amy,HillaryClinton,First debate,25
an7361,realDonaldTrump,First debate,17
AnatMend,realDonaldTrump,First debate,13
andrew_whitebm,realDonaldTrump,First debate,16
Andrianamik,realDonaldTrump,First debate,14
AndyAshby1,realDonaldTrump,First debate,15
Andychuho,HillaryClinton,First debate,18
Andygbu,HillaryClinton,First debate,24
angellhenderson,HillaryClinton,First debate,13
AngelSt35124353,realDonaldTrump,First debate,13
Annette73261887,realDonaldTrump,First debate,12
annhull55,realDonaldTrump,First debate,11
AnupliftedHeart,realDonaldTrump,First debate,14
APikachuaaa,realDonaldTrump,First debate,26
APiroozmandi,realDonaldTrump,First debate,12
