,name,count,symbol,category
0,suprise_1,16193,????,suprise
1,uncertain_1,3772,??°Ë°±,uncertain
2,joy_30,2756,??°Æç,joy
3,uncertain_6,1828,????,uncertain
4,joy_15,1730,????,joy
5,sadness_8,1578,????,sadness
6,uncertain_17,966,????,uncertain
7,joy_29,856,???è,joy
8,joy_5,828,???°Î,joy
9,disgust_13,755,??°ØÄ,disgust
10,disgust_7,678,????,disgust
11,sadness_9,649,???°Ø,sadness
12,suprise_4,631,????,suprise
13,sadness_2,566,????,sadness
14,joy_6,540,????,joy
15,joy_7,527,????,joy
16,suprise_2,518,????,suprise
17,joy_18,507,???ç,joy
18,suprise_12,482,???°¿,suprise
19,joy_1,474,???Å,joy
20,disgust_16,469,??°Ø?,disgust
21,uncertain_14,452,???°≠,uncertain
22,sadness_24,452,??°Æ?,sadness
23,suprise_8,452,???°≠,suprise
24,uncertain_11,394,???è,uncertain
25,uncertain_7,383,????,uncertain
26,joy_0,355,???Ä,joy
27,joy_3,348,????,joy
28,joy_4,348,????,joy
29,joy_22,348,????,joy
30,uncertain_15,340,????,uncertain
31,disgust_17,316,??®C?,disgust
32,uncertain_4,282,???°Æ,uncertain
33,disgust_6,271,???°Ë,disgust
34,suprise_5,265,???ù,suprise
35,uncertain_3,251,???ê,uncertain
36,sadness_20,239,???°§,sadness
37,disgust_10,236,????,disgust
38,sadness_13,220,????,sadness
39,uncertain_18,217,????,uncertain
40,uncertain_0,217,????,uncertain
41,joy_2,197,????,joy
42,suprise_17,179,????,suprise
43,sadness_0,161,???°±,sadness
44,joy_13,155,??°Ë°™,joy
45,disgust_8,146,???®C,disgust
46,sadness_3,132,????,sadness
47,suprise_6,129,??°Ë°∞,suprise
48,joy_19,124,????,joy
49,uncertain_5,122,????,uncertain
50,sadness_16,116,????,sadness
51,sadness_17,115,???°ß,sadness
52,suprise_7,111,????,suprise
53,sadness_4,106,??°Ë?,sadness
54,suprise_9,96,????,suprise
55,joy_12,90,????,joy
56,sadness_19,89,??°Ë°Ø,sadness
57,uncertain_9,86,????,uncertain
58,sadness_1,85,????,sadness
59,joy_8,84,????,joy
60,disgust_9,84,????,disgust
61,sadness_10,79,????,sadness
62,sadness_23,77,????,sadness
63,suprise_13,77,??°Æ?,suprise
64,disgust_14,74,??°Æ?,disgust
65,sadness_22,74,????,sadness
66,joy_11,73,?????è,joy
67,suprise_10,73,????,suprise
68,sadness_7,61,???°∞,sadness
69,uncertain_19,58,??°Ëê,uncertain
70,sadness_14,56,????,sadness
71,disgust_12,55,??°Æ?,disgust
72,joy_28,55,??°Ë°Æ,joy
73,sadness_18,55,???°„,sadness
74,suprise_11,55,???Ä,suprise
75,disgust_15,55,??°Æ?,disgust
76,suprise_3,53,????,suprise
77,sadness_6,50,???°Ï,sadness
78,sadness_11,44,?????è,sadness
79,suprise_14,40,??°Æ?,suprise
80,sadness_5,34,????,sadness
81,sadness_12,33,???Å,sadness
82,joy_10,26,????,joy
83,joy_17,25,????,joy
84,joy_20,21,????,joy
85,uncertain_10,19,???°™,uncertain
86,suprise_15,17,??°Ë®C,suprise
87,disgust_11,13,????,disgust
88,sadness_21,12,????,sadness
89,joy_9,12,????,joy
90,joy_25,11,??°Ë?,joy
91,suprise_18,10,????,suprise
92,joy_21,7,????,joy
93,disgust_3,5,??°Ë?,disgust
94,joy_23,4,????,joy
95,sadness_15,3,??°Ë?,sadness
96,suprise_16,2,??°Ë?,suprise
97,disgust_5,1,??°Ë°Ï,disgust
98,uncertain_21,1,??°Ë?,uncertain
99,joy_26,1,??°Ë°Ë,joy
100,joy_27,0,??°Ë?,joy
101,uncertain_20,0,??°Ë?,uncertain
102,joy_14,0,??°Ë?,joy
103,joy_16,0,???°„,joy
104,joy_24,0,????,joy
105,uncertain_16,0,????,uncertain
106,uncertain_2,0,??°Ë°ß,uncertain
107,disgust_4,0,??°Ë?,disgust
108,uncertain_12,0,??°Ïê,uncertain
109,suprise_0,0,??°Ë?,suprise
110,disgust_0,0,????,disgust
111,disgust_1,0,????,disgust
112,uncertain_8,0,??°Ë?,uncertain
113,disgust_2,0,??°Ë?,disgust
114,uncertain_13,0,????,uncertain
