,name,count,symbol,category
0,suprise_1,13626,????,suprise
1,uncertain_1,3892,??°Ë°±,uncertain
2,joy_30,2731,??°Æç,joy
3,suprise_2,2632,????,suprise
4,joy_5,1946,???°Î,joy
5,uncertain_17,1901,????,uncertain
6,disgust_16,1629,??°Ø?,disgust
7,uncertain_6,1480,????,uncertain
8,joy_29,1284,???è,joy
9,suprise_12,1264,???°¿,suprise
10,sadness_8,1109,????,sadness
11,disgust_7,1085,????,disgust
12,sadness_2,933,????,sadness
13,joy_3,827,????,joy
14,joy_4,827,????,joy
15,joy_22,827,????,joy
16,uncertain_14,662,???°≠,uncertain
17,suprise_8,662,???°≠,suprise
18,sadness_9,657,???°Ø,sadness
19,sadness_24,639,??°Æ?,sadness
20,joy_6,589,????,joy
21,disgust_17,587,??®C?,disgust
22,joy_7,570,????,joy
23,disgust_13,503,??°ØÄ,disgust
24,joy_1,442,???Å,joy
25,joy_18,399,???ç,joy
26,joy_0,390,???Ä,joy
27,suprise_11,390,???Ä,suprise
28,suprise_3,381,????,suprise
29,uncertain_11,364,???è,uncertain
30,disgust_14,347,??°Æ?,disgust
31,suprise_17,328,????,suprise
32,suprise_4,304,????,suprise
33,disgust_12,291,??°Æ?,disgust
34,uncertain_3,290,???ê,uncertain
35,uncertain_4,262,???°Æ,uncertain
36,joy_15,260,????,joy
37,uncertain_7,251,????,uncertain
38,sadness_4,250,??°Ë?,sadness
39,disgust_10,242,????,disgust
40,sadness_13,241,????,sadness
41,uncertain_15,212,????,uncertain
42,joy_2,207,????,joy
43,sadness_0,201,???°±,sadness
44,uncertain_0,192,????,uncertain
45,suprise_9,166,????,suprise
46,suprise_5,165,???ù,suprise
47,uncertain_18,161,????,uncertain
48,sadness_20,160,???°§,sadness
49,disgust_9,159,????,disgust
50,sadness_3,151,????,sadness
51,disgust_6,149,???°Ë,disgust
52,sadness_17,140,???°ß,sadness
53,sadness_16,138,????,sadness
54,joy_13,133,??°Ë°™,joy
55,suprise_7,127,????,suprise
56,disgust_8,121,???®C,disgust
57,joy_19,111,????,joy
58,joy_28,97,??°Ë°Æ,joy
59,sadness_10,97,????,sadness
60,disgust_15,93,??°Æ?,disgust
61,uncertain_9,87,????,uncertain
62,suprise_10,83,????,suprise
63,uncertain_5,82,????,uncertain
64,suprise_13,75,??°Æ?,suprise
65,sadness_5,74,????,sadness
66,sadness_23,73,????,sadness
67,sadness_1,72,????,sadness
68,sadness_18,72,???°„,sadness
69,sadness_6,68,???°Ï,sadness
70,sadness_22,64,????,sadness
71,joy_21,63,????,joy
72,suprise_6,58,??°Ë°∞,suprise
73,joy_11,58,?????è,joy
74,disgust_11,53,????,disgust
75,sadness_14,52,????,sadness
76,joy_12,50,????,joy
77,suprise_18,49,????,suprise
78,sadness_11,49,?????è,sadness
79,joy_8,49,????,joy
80,joy_17,45,????,joy
81,uncertain_19,45,??°Ëê,uncertain
82,joy_20,43,????,joy
83,sadness_7,41,???°∞,sadness
84,joy_23,32,????,joy
85,suprise_14,29,??°Æ?,suprise
86,joy_10,27,????,joy
87,sadness_19,25,??°Ë°Ø,sadness
88,sadness_12,24,???Å,sadness
89,sadness_21,23,????,sadness
90,uncertain_10,14,???°™,uncertain
91,joy_9,9,????,joy
92,suprise_15,4,??°Ë®C,suprise
93,suprise_16,3,??°Ë?,suprise
94,sadness_15,2,??°Ë?,sadness
95,disgust_3,2,??°Ë?,disgust
96,disgust_0,0,????,disgust
97,uncertain_12,0,??°Ïê,uncertain
98,uncertain_20,0,??°Ë?,uncertain
99,disgust_1,0,????,disgust
100,joy_14,0,??°Ë?,joy
101,disgust_2,0,??°Ë?,disgust
102,uncertain_16,0,????,uncertain
103,joy_16,0,???°„,joy
104,uncertain_13,0,????,uncertain
105,disgust_4,0,??°Ë?,disgust
106,uncertain_2,0,??°Ë°ß,uncertain
107,disgust_5,0,??°Ë°Ï,disgust
108,joy_27,0,??°Ë?,joy
109,uncertain_8,0,??°Ë?,uncertain
110,joy_26,0,??°Ë°Ë,joy
111,joy_25,0,??°Ë?,joy
112,suprise_0,0,??°Ë?,suprise
113,joy_24,0,????,joy
114,uncertain_21,0,??°Ë?,uncertain
