,name,count,symbol,category
0,suprise_1,30975,ðŸ˜‚,suprise
1,joy_29,4830,ðŸ™,joy
2,sadness_8,4193,ðŸ˜­,sadness
3,uncertain_1,3864,ðŸ¤”,uncertain
4,joy_30,3684,ðŸ‘,joy
5,uncertain_17,2907,ðŸ˜³,uncertain
6,suprise_12,2742,ðŸ˜±,suprise
7,uncertain_6,2169,ðŸ™„,uncertain
8,sadness_2,1978,ðŸ˜©,sadness
9,suprise_8,1557,ðŸ˜…,suprise
10,uncertain_14,1557,ðŸ˜…,uncertain
11,joy_5,1525,ðŸ˜‰,joy
12,joy_6,1455,ðŸ˜Š,joy
13,joy_1,1436,ðŸ˜,joy
14,suprise_4,1397,ðŸ˜œ,suprise
15,sadness_13,1392,ðŸ˜¢,sadness
16,disgust_13,1307,ðŸ’€,disgust
17,sadness_18,1273,ðŸ˜°,sadness
18,disgust_7,1267,ðŸ˜¡,disgust
19,sadness_9,1197,ðŸ˜’,sadness
20,joy_18,1175,ðŸ˜,joy
21,joy_7,1104,ðŸ˜Ž,joy
22,sadness_0,1099,ðŸ˜”,sadness
23,uncertain_7,920,ðŸ˜¬,uncertain
24,uncertain_15,904,ðŸ™ƒ,uncertain
25,sadness_17,884,ðŸ˜¨,sadness
26,uncertain_3,848,ðŸ˜,uncertain
27,uncertain_0,833,ðŸ˜•,uncertain
28,joy_15,778,ðŸ˜˜,joy
29,sadness_3,730,ðŸ˜«,sadness
30,joy_0,712,ðŸ˜€,joy
31,uncertain_4,680,ðŸ˜‘,uncertain
32,sadness_7,660,ðŸ˜“,sadness
33,joy_3,596,ðŸ˜„,joy
34,joy_22,596,ðŸ˜„,joy
35,joy_4,596,ðŸ˜„,joy
36,suprise_2,580,ðŸ˜†,suprise
37,sadness_16,575,ðŸ˜ž,sadness
38,sadness_23,561,ðŸ˜Œ,sadness
39,disgust_17,546,ðŸ–•,disgust
40,sadness_1,530,ðŸ˜¥,sadness
41,disgust_16,507,ðŸ’©,disgust
42,suprise_9,487,ðŸ˜²,suprise
43,uncertain_11,479,ðŸ˜,uncertain
44,joy_13,466,ðŸ¤—,joy
45,sadness_24,452,ðŸ‘Ž,sadness
46,suprise_17,406,ðŸ˜ˆ,suprise
47,disgust_8,402,ðŸ˜–,disgust
48,sadness_22,400,ðŸ˜ª,sadness
49,joy_2,390,ðŸ˜ƒ,joy
50,disgust_9,365,ðŸ˜£,disgust
51,disgust_10,363,ðŸ˜ ,disgust
52,suprise_5,340,ðŸ˜,suprise
53,suprise_10,329,ðŸ˜®,suprise
54,disgust_6,326,ðŸ˜¤,disgust
55,uncertain_5,319,ðŸ˜¶,uncertain
56,sadness_4,311,ðŸ¤•,sadness
57,sadness_14,304,ðŸ˜Ÿ,sadness
58,uncertain_9,296,ðŸ˜µ,uncertain
59,uncertain_18,255,ðŸ˜´,uncertain
60,sadness_20,250,ðŸ˜·,sadness
61,joy_12,240,ðŸ™‚,joy
62,sadness_10,220,ðŸ˜¯,sadness
63,sadness_6,215,ðŸ˜§,sadness
64,suprise_3,208,ðŸ˜›,suprise
65,suprise_6,187,ðŸ¤“,suprise
66,joy_8,186,ðŸ˜‹,joy
67,sadness_5,178,ðŸ˜¦,sadness
68,suprise_7,171,ðŸ˜¹,suprise
69,sadness_11,171,â˜¹ï¸,sadness
70,sadness_12,162,ðŸ™,sadness
71,joy_11,152,â˜ºï¸,joy
72,joy_19,135,ðŸ˜‡,joy
73,disgust_14,102,ðŸ‘¹,disgust
74,uncertain_19,102,ðŸ¤,uncertain
75,suprise_13,96,ðŸ‘»,suprise
76,uncertain_21,80,ðŸ¤ž,uncertain
77,suprise_11,77,ðŸ™€,suprise
78,suprise_14,74,ðŸ‘½,suprise
79,joy_17,68,ðŸ˜»,joy
80,sadness_19,52,ðŸ¤’,sadness
81,disgust_12,50,ðŸ‘¿,disgust
82,disgust_11,49,ðŸ˜¾,disgust
83,disgust_15,47,ðŸ‘º,disgust
84,sadness_21,44,ðŸ˜¿,sadness
85,joy_28,43,ðŸ¤‘,joy
86,joy_23,43,ðŸ˜½,joy
87,joy_20,42,ðŸ˜¸,joy
88,joy_10,40,ðŸ˜š,joy
89,suprise_15,27,ðŸ¤–,suprise
90,joy_9,21,ðŸ˜™,joy
91,suprise_18,20,ðŸ˜¼,suprise
92,joy_21,17,ðŸ˜º,joy
93,uncertain_10,9,ðŸ˜—,uncertain
94,suprise_16,6,ðŸ¤¡,suprise
95,disgust_3,4,ðŸ¤¢,disgust
96,joy_26,1,ðŸ¤¤,joy
97,joy_25,1,ðŸ¤ ,joy
98,disgust_5,1,ðŸ¤§,disgust
99,sadness_15,1,ðŸ¤¥,sadness
100,disgust_0,0,ðŸ¥µ,disgust
101,joy_27,0,ðŸ¤­,joy
102,uncertain_8,0,ðŸ¤ª,uncertain
103,disgust_1,0,ðŸ¥¶,disgust
104,disgust_4,0,ðŸ¤®,disgust
105,disgust_2,0,ðŸ¤¬,disgust
106,uncertain_12,0,ðŸ§,uncertain
107,uncertain_13,0,ðŸ¥´,uncertain
108,joy_24,0,ðŸ¥³,joy
109,uncertain_16,0,ðŸ¥º,uncertain
110,joy_16,0,ðŸ¥°,joy
111,joy_14,0,ðŸ¤©,joy
112,uncertain_2,0,ðŸ¤¨,uncertain
113,uncertain_20,0,ðŸ¤«,uncertain
114,suprise_0,0,ðŸ¤¯,suprise
