,name,count,symbol,category
0,suprise_1,9872,ðŸ˜‚,suprise
1,uncertain_1,3180,ðŸ¤”,uncertain
2,joy_30,2021,ðŸ‘,joy
3,suprise_2,1591,ðŸ˜†,suprise
4,joy_5,1512,ðŸ˜‰,joy
5,uncertain_6,1350,ðŸ™„,uncertain
6,joy_29,1305,ðŸ™,joy
7,uncertain_17,1141,ðŸ˜³,uncertain
8,suprise_12,902,ðŸ˜±,suprise
9,disgust_7,901,ðŸ˜¡,disgust
10,sadness_8,896,ðŸ˜­,sadness
11,disgust_16,873,ðŸ’©,disgust
12,sadness_2,623,ðŸ˜©,sadness
13,joy_22,607,ðŸ˜„,joy
14,joy_4,607,ðŸ˜„,joy
15,joy_3,607,ðŸ˜„,joy
16,joy_7,545,ðŸ˜Ž,joy
17,sadness_9,527,ðŸ˜’,sadness
18,sadness_24,507,ðŸ‘Ž,sadness
19,suprise_8,487,ðŸ˜…,suprise
20,uncertain_14,487,ðŸ˜…,uncertain
21,disgust_13,408,ðŸ’€,disgust
22,joy_1,381,ðŸ˜,joy
23,joy_18,367,ðŸ˜,joy
24,joy_6,367,ðŸ˜Š,joy
25,suprise_11,334,ðŸ™€,suprise
26,uncertain_11,292,ðŸ˜,uncertain
27,disgust_14,282,ðŸ‘¹,disgust
28,joy_0,268,ðŸ˜€,joy
29,suprise_4,258,ðŸ˜œ,suprise
30,uncertain_3,253,ðŸ˜,uncertain
31,uncertain_7,252,ðŸ˜¬,uncertain
32,sadness_4,247,ðŸ¤•,sadness
33,disgust_12,246,ðŸ‘¿,disgust
34,uncertain_4,234,ðŸ˜‘,uncertain
35,suprise_3,225,ðŸ˜›,suprise
36,suprise_17,216,ðŸ˜ˆ,suprise
37,uncertain_18,209,ðŸ˜´,uncertain
38,uncertain_15,208,ðŸ™ƒ,uncertain
39,disgust_17,196,ðŸ–•,disgust
40,disgust_15,185,ðŸ‘º,disgust
41,joy_15,184,ðŸ˜˜,joy
42,sadness_0,174,ðŸ˜”,sadness
43,sadness_13,174,ðŸ˜¢,sadness
44,uncertain_0,165,ðŸ˜•,uncertain
45,suprise_5,148,ðŸ˜,suprise
46,joy_2,138,ðŸ˜ƒ,joy
47,joy_13,129,ðŸ¤—,joy
48,sadness_3,127,ðŸ˜«,sadness
49,suprise_9,120,ðŸ˜²,suprise
50,disgust_10,119,ðŸ˜ ,disgust
51,disgust_6,119,ðŸ˜¤,disgust
52,sadness_16,115,ðŸ˜ž,sadness
53,sadness_20,115,ðŸ˜·,sadness
54,suprise_7,114,ðŸ˜¹,suprise
55,disgust_8,111,ðŸ˜–,disgust
56,sadness_17,91,ðŸ˜¨,sadness
57,suprise_6,87,ðŸ¤“,suprise
58,suprise_10,81,ðŸ˜®,suprise
59,joy_19,72,ðŸ˜‡,joy
60,uncertain_9,71,ðŸ˜µ,uncertain
61,disgust_9,68,ðŸ˜£,disgust
62,uncertain_5,65,ðŸ˜¶,uncertain
63,joy_11,61,â˜ºï¸,joy
64,joy_28,56,ðŸ¤‘,joy
65,sadness_22,54,ðŸ˜ª,sadness
66,sadness_18,54,ðŸ˜°,sadness
67,sadness_23,52,ðŸ˜Œ,sadness
68,suprise_13,49,ðŸ‘»,suprise
69,sadness_11,47,â˜¹ï¸,sadness
70,sadness_6,47,ðŸ˜§,sadness
71,sadness_1,45,ðŸ˜¥,sadness
72,sadness_5,43,ðŸ˜¦,sadness
73,sadness_14,42,ðŸ˜Ÿ,sadness
74,joy_12,37,ðŸ™‚,joy
75,sadness_10,36,ðŸ˜¯,sadness
76,joy_21,33,ðŸ˜º,joy
77,joy_17,33,ðŸ˜»,joy
78,sadness_19,33,ðŸ¤’,sadness
79,joy_8,33,ðŸ˜‹,joy
80,joy_20,32,ðŸ˜¸,joy
81,sadness_7,32,ðŸ˜“,sadness
82,disgust_11,31,ðŸ˜¾,disgust
83,uncertain_19,26,ðŸ¤,uncertain
84,suprise_18,26,ðŸ˜¼,suprise
85,suprise_14,23,ðŸ‘½,suprise
86,joy_23,15,ðŸ˜½,joy
87,sadness_12,13,ðŸ™,sadness
88,uncertain_10,13,ðŸ˜—,uncertain
89,joy_10,12,ðŸ˜š,joy
90,sadness_21,11,ðŸ˜¿,sadness
91,suprise_15,6,ðŸ¤–,suprise
92,joy_9,5,ðŸ˜™,joy
93,suprise_16,3,ðŸ¤¡,suprise
94,disgust_3,1,ðŸ¤¢,disgust
95,sadness_15,1,ðŸ¤¥,sadness
96,uncertain_16,0,ðŸ¥º,uncertain
97,joy_14,0,ðŸ¤©,joy
98,uncertain_13,0,ðŸ¥´,uncertain
99,uncertain_12,0,ðŸ§,uncertain
100,uncertain_20,0,ðŸ¤«,uncertain
101,joy_16,0,ðŸ¥°,joy
102,suprise_0,0,ðŸ¤¯,suprise
103,joy_24,0,ðŸ¥³,joy
104,uncertain_8,0,ðŸ¤ª,uncertain
105,joy_25,0,ðŸ¤ ,joy
106,joy_26,0,ðŸ¤¤,joy
107,uncertain_2,0,ðŸ¤¨,uncertain
108,joy_27,0,ðŸ¤­,joy
109,disgust_0,0,ðŸ¥µ,disgust
110,disgust_1,0,ðŸ¥¶,disgust
111,disgust_2,0,ðŸ¤¬,disgust
112,disgust_4,0,ðŸ¤®,disgust
113,disgust_5,0,ðŸ¤§,disgust
114,uncertain_21,0,ðŸ¤ž,uncertain
