state,elected,preferred_candidate1,polarity1,subjectivity1,top_theme_1_1,top_theme_2_1,top_theme_3_1,net_candidate_score1,trump_candidate1,trump_polarity1,trump_subjectivity1,hillary_candidate1,hillary_polarity1,hillary_subjectivity1,preferred_candidate2,polarity2,subjectivity2,top_theme_1_2,top_theme_2_2,top_theme_3_2,net_candidate_score2,trump_candidate2,trump_polarity2,trump_subjectivity2,hillary_candidate2,hillary_polarity2,hillary_subjectivity2,preferred_candidate3,polarity3,subjectivity3,top_theme_1_3,top_theme_2_3,top_theme_3_3,net_candidate_score3,trump_candidate3,trump_polarity3,trump_subjectivity3,hillary_candidate3,hillary_polarity3,hillary_subjectivity3,preferred_candidate4,polarity4,subjectivity4,top_theme_1_4,top_theme_2_4,top_theme_3_4,net_candidate_score4,trump_candidate4,trump_polarity4,trump_subjectivity4,hillary_candidate4,hillary_polarity4,hillary_subjectivity4,preferred_candidate5,polarity5,subjectivity5,top_theme_1_5,top_theme_2_5,top_theme_3_5,net_candidate_score5,trump_candidate5,trump_polarity5,trump_subjectivity5,hillary_candidate5,hillary_polarity5,hillary_subjectivity5
Alabama,Donald Trump,Donald Trump,0.088650354,0.273875933,Benghazi,Jobs,Make America Great Again,0.604735622,0.21563866,0.104208353,0.271049449,-0.389096962,0.00262595,0.323263534,Donald Trump,0.101766301,0.282575304,Jobs,Women,Make America Great Again,0.15427906,0,0.086377295,0.28772622,-0.15427906,0.047499533,0.286849655,Donald Trump,0.059077832,0.303295793,Women,Make America Great Again,Racial Issues,0.176584544,0.081801126,0.064047872,0.303754346,-0.094783419,0.037663149,0.363015688,Donald Trump,0.049628602,0.308116283,Obama,Jobs,Benghazi,0.350903047,0.048407116,0.05225271,0.345809946,-0.302495931,0.013462445,0.288139265,Donald Trump,0.111810888,0.277133604,Make America Great Again,Obama,Jobs,0.173007028,-0.103692208,0.146757545,0.270145962,-0.276699235,0.066656819,0.233618035
Alaska,Donald Trump,Donald Trump,0.083872556,0.263380921,Foreign Policy,Benghazi,Obama,0.485307066,0.0211426,0.076555618,0.275627112,-0.464164466,0.037404412,0.395431924,Donald Trump,0.098205039,0.300316597,Women,Jobs,Tax,0.289115624,0,0.084433515,0.303684106,-0.289115624,0.04542885,0.300759352,Donald Trump,0.060911479,0.293974619,Women,Make America Great Again,Obama,0.152811941,0,0.082426527,0.265316829,-0.152811941,0.024805596,0.3378771,Donald Trump,0.057764193,0.322202363,Obama,Benghazi,Racial Issues,0.162751727,0.100722326,0.060346028,0.297549629,-0.062029401,0.020461568,0.342504645,Donald Trump,0.121792547,0.279757023,Racial Issues,Make America Great Again,Jobs,0.424820523,0.21097515,0.177554865,0.291774875,-0.213845373,0.05185288,0.244795488
Arizona,Donald Trump,Donald Trump,0.078678629,0.27915465,Benghazi,Jobs,Racial Issues,0.393135617,0.029281768,0.082507256,0.270555322,-0.363853849,0.048215777,0.342372472,Donald Trump,0.088805967,0.29187969,Make America Great Again,Jobs,Law,0.197197782,0,0.068600505,0.298335139,-0.197197782,0.039744446,0.321598649,Donald Trump,0.049814647,0.312475865,Women,Make America Great Again,Racial Issues,0.194847383,0.08537464,0.05203425,0.291336798,-0.109472744,0.02964145,0.365866094,Donald Trump,0.053881375,0.320282887,Jobs,Obama,Benghazi,0.085454368,0,0.050924584,0.326386287,-0.085454368,0.017475532,0.320943722,Donald Trump,0.10283586,0.273510125,Make America Great Again,Racial Issues,Women,0.066579843,-0.121706628,0.154855419,0.276752734,-0.188286472,0.108379058,0.254653075
Arkansas,Donald Trump,Donald Trump,0.093572492,0.298154553,Jobs,Racial Issues,Benghazi,0.179162184,0.15263417,0.095157007,0.259383015,-0.026528014,0.073455743,0.358579649,Hillary Clinton,0.115107438,0.301714879,Make America Great Again,Jobs,Tax,-0.036104964,0,0.097239909,0.307029247,0.036104964,0.048597867,0.326334848,Hillary Clinton,0.055923581,0.310727048,Women,Obama,Jobs,-0.134670758,0,0.045103317,0.301408685,0.134670758,0.06275575,0.357782815,Donald Trump,0.033647419,0.314486133,Jobs,Make America Great Again,Women,0.6122058,0.264738191,0.067448544,0.279556045,-0.347467609,-0.007335537,0.291212517,Donald Trump,0.10818121,0.277950454,Make America Great Again,Racial Issues,Women,0.051828621,-0.101650456,0.151861223,0.288246261,-0.153479077,0.099145533,0.26497856
California,Hillary Clinton,Donald Trump,0.081601258,0.283050687,Benghazi,Racial Issues,Jobs,0.010879115,0,0.076231282,0.288728553,-0.010879115,0.118148191,0.350111068,Donald Trump,0.082633085,0.287522613,Women,Make America Great Again,Tax,0.039635247,0,0.056240849,0.297994031,-0.039635247,0.074824825,0.305454476,Donald Trump,0.042350898,0.314064067,Make America Great Again,Jobs,Racial Issues,0.037723105,0,0.039052574,0.306996938,-0.037723105,0.089564354,0.400519219,Hillary Clinton,0.049254549,0.335596835,Abortion,Benghazi,Obama,-0.119866278,0,0.026467197,0.335660473,0.119866278,0.056399311,0.369865055,Donald Trump,0.10025305,0.275926043,Jobs,Women,Make America Great Again,0.010281634,-0.043071974,0.139690022,0.28329482,-0.053353608,0.14755853,0.258929356
Colorado,Hillary Clinton,Donald Trump,0.077521758,0.288976733,Jobs,Women,Racial Issues,0.005739681,0,0.068527779,0.283818313,-0.005739681,0.091921471,0.347646951,Donald Trump,0.080393115,0.286563307,Women,Make America Great Again,Jobs,0.011139993,0,0.057588402,0.289489542,-0.011139993,0.052897146,0.308650309,Hillary Clinton,0.043775145,0.310523565,Women,Racial Issues,Jobs,-0.007563354,0,0.031923642,0.301146031,0.007563354,0.077356687,0.401891352,Donald Trump,0.048268898,0.340028939,Jobs,Women,Abortion,0.121737576,0,0.051813725,0.33477376,-0.121737576,0.034113754,0.368496146,Donald Trump,0.108354987,0.282969581,Make America Great Again,Racial Issues,Women,0.128842639,0.011164585,0.161311907,0.275185802,-0.117678053,0.109792301,0.297609246
Connecticut,Hillary Clinton,Donald Trump,0.085425962,0.28174685,Jobs,Benghazi,Law,0.062040068,0,0.087825904,0.282725013,-0.062040068,0.107781071,0.340923896,Hillary Clinton,0.083643272,0.296677218,Tax,Make America Great Again,Jobs,-0.021442396,0,0.052697098,0.301777223,0.021442396,0.052572728,0.316323452,Hillary Clinton,0.04687243,0.316273418,Racial Issues,Women,Obama,-0.082914402,0,0.044821128,0.315822948,0.082914402,0.090547055,0.375998157,Hillary Clinton,0.061784882,0.313142372,Jobs,Benghazi,Tax,-0.017924928,0,0.047656718,0.314421156,0.017924928,0.068055556,0.321946893,Donald Trump,0.114201034,0.272020242,Racial Issues,Women,Make America Great Again,0.035626359,-0.007007954,0.134523055,0.273357103,-0.042634313,0.190903449,0.267964247
Delaware,Hillary Clinton,Donald Trump,0.072721937,0.274204261,Jobs,Obama,Tax,0.25423808,0,0.038996182,0.290492433,-0.25423808,0.014270001,0.307688515,Hillary Clinton,0.094566108,0.302307362,Jobs,Make America Great Again,Women,-0.382820743,0,0.05071904,0.297195266,0.382820743,0.137821603,0.342899637,Hillary Clinton,0.049556833,0.310962464,Women,Make America Great Again,Racial Issues,-0.09048459,0,0.040109721,0.322373599,0.09048459,0.083331574,0.381826204,Donald Trump,0.0410583,0.313119063,Benghazi,Make America Great Again,Obama,0.239742212,0,0.054136306,0.306419175,-0.239742212,0.014387133,0.36203358,Donald Trump,0.119774711,0.276811086,Women,Make America Great Again,Jobs,0.18062713,0.09159371,0.127619138,0.216541701,-0.089033421,0.180675552,0.337148608
Florida,Donald Trump,Donald Trump,0.083391147,0.273273066,Benghazi,Jobs,Women,0.302608476,0,0.079008771,0.263058471,-0.302608476,0.039799721,0.313366849,Donald Trump,0.100379376,0.289688198,Make America Great Again,Jobs,Obama,0.106556426,0,0.079619563,0.286061713,-0.106556426,0.067465692,0.304880979,Donald Trump,0.051391828,0.304199735,Women,Benghazi,Make America Great Again,0.167979953,0.028676471,0.050918027,0.282255124,-0.139303483,0.048608246,0.36153454,Donald Trump,0.056746352,0.310550507,Benghazi,Jobs,Obama,0.380179133,0.04845447,0.078938492,0.321745058,-0.331724663,0.01101848,0.307932726,Donald Trump,0.105970958,0.256963547,Jobs,Make America Great Again,Women,0.162354791,-0.035330448,0.142375915,0.261669654,-0.197685239,0.071514693,0.227481978
Georgia,Donald Trump,Donald Trump,0.083113602,0.277816804,Benghazi,Jobs,Racial Issues,0.145857778,0,0.072756554,0.273551231,-0.145857778,0.059382713,0.312144558,Donald Trump,0.092792001,0.294793728,Jobs,Make America Great Again,Women,0.128295362,0,0.06604759,0.283400405,-0.128295362,0.045792914,0.289556619,Donald Trump,0.045560472,0.303201897,Make America Great Again,Women,Racial Issues,0.077429067,0,0.035382021,0.292160969,-0.077429067,0.047595751,0.364557886,Donald Trump,0.045480649,0.318422868,Jobs,Obama,Make America Great Again,0.055876126,0,0.044572744,0.342245636,-0.055876126,0.020555189,0.329848617,Donald Trump,0.099117591,0.269119451,Racial Issues,Women,Make America Great Again,0.05326802,-0.045316045,0.144014879,0.286529344,-0.098584065,0.155067406,0.269434481
